employee_id,name,department,role,date,tasks_completed,hours_worked,rating,projects,absences
E1000,Emp_000,Marketing,SEO,2024-01-01,8,6.55,3.67,0,0
E1001,Emp_001,HR,HRBP,2024-01-01,3,5.57,3.48,0,0
E1002,Emp_002,Engineering,Data Eng,2024-01-01,7,8.13,4.55,1,0
E1003,Emp_003,Marketing,Content,2024-01-01,4,7.03,2.96,1,0
E1004,Emp_004,Engineering,QA Eng,2024-01-01,6,9.01,3.89,1,0
E1005,Emp_005,Engineering,Backend Dev,2024-01-01,9,7.61,4.79,2,0
E1006,Emp_006,Marketing,Content,2024-01-01,4,6.24,4.65,1,0
E1007,Emp_007,Marketing,Designer,2024-01-01,7,7.21,4.1,0,0
E1008,Emp_008,Support,Agent,2024-01-01,10,8.75,2.73,1,0
E1009,Emp_009,Finance,Analyst,2024-01-01,8,6.3,4.61,1,0
E1010,Emp_010,Sales,SDR,2024-01-01,12,7.73,3.63,0,0
E1011,Emp_011,Support,Agent,2024-01-01,9,7.7,3.21,0,0
E1012,Emp_012,Sales,Account Manager,2024-01-01,7,6.66,3.94,0,0
E1013,Emp_013,HR,Recruiter,2024-01-01,5,9.23,3.5,2,0
E1014,Emp_014,Finance,Accountant,2024-01-01,5,7.03,3.55,0,0
E1015,Emp_015,Sales,Account Manager,2024-01-01,9,8.54,3.82,1,0
E1016,Emp_016,Engineering,Backend Dev,2024-01-01,7,7.71,3.68,2,0
E1017,Emp_017,Sales,SDR,2024-01-01,8,6.51,3.4,2,0
E1018,Emp_018,Marketing,SEO,2024-01-01,6,8.0,3.51,1,0
E1019,Emp_019,Support,Team Lead,2024-01-01,10,9.08,2.62,1,0
E1020,Emp_020,Engineering,QA Eng,2024-01-01,8,6.94,4.58,1,0
E1021,Emp_021,Engineering,Backend Dev,2024-01-01,10,8.0,4.94,0,0
E1022,Emp_022,Marketing,SEO,2024-01-01,11,10.21,3.32,1,0
E1023,Emp_023,HR,HRBP,2024-01-01,7,6.47,4.21,0,0
E1024,Emp_024,Finance,Analyst,2024-01-01,0,0.0,0.0,2,1
E1025,Emp_025,HR,HRBP,2024-01-01,5,8.04,3.08,0,0
E1026,Emp_026,Sales,SDR,2024-01-01,9,6.43,3.92,2,0
E1027,Emp_027,Sales,Account Manager,2024-01-01,14,6.72,4.02,1,0
E1028,Emp_028,Engineering,Frontend Dev,2024-01-01,8,5.91,3.42,1,0
E1029,Emp_029,HR,HRBP,2024-01-01,6,8.93,3.96,1,0
E1030,Emp_030,Marketing,Content,2024-01-01,11,8.63,3.94,1,0
E1031,Emp_031,HR,HRBP,2024-01-01,7,8.04,3.34,1,0
E1032,Emp_032,HR,Recruiter,2024-01-01,3,4.68,3.85,1,0
E1033,Emp_033,Finance,Accountant,2024-01-01,6,5.95,4.18,2,0
E1034,Emp_034,Finance,Analyst,2024-01-01,7,9.46,4.16,1,0
E1035,Emp_035,Finance,Accountant,2024-01-01,5,7.7,4.07,2,0
E1036,Emp_036,Engineering,Backend Dev,2024-01-01,0,0.0,0.0,2,1
E1037,Emp_037,Finance,Accountant,2024-01-01,6,6.33,5.0,0,0
E1038,Emp_038,Marketing,SEO,2024-01-01,5,6.65,3.73,1,0
E1039,Emp_039,Sales,AE,2024-01-01,8,8.1,2.6,1,0
E1040,Emp_040,Engineering,Data Eng,2024-01-01,9,8.14,4.41,1,0
E1041,Emp_041,Engineering,QA Eng,2024-01-01,9,7.91,4.28,2,0
E1042,Emp_042,Engineering,Backend Dev,2024-01-01,5,6.35,4.21,1,0
E1043,Emp_043,Finance,Accountant,2024-01-01,4,7.13,3.62,0,0
E1044,Emp_044,Finance,Accountant,2024-01-01,6,7.42,4.21,2,0
E1045,Emp_045,HR,HRBP,2024-01-01,4,6.75,3.69,1,0
E1046,Emp_046,Sales,SDR,2024-01-01,10,6.79,4.21,1,0
E1047,Emp_047,Marketing,Content,2024-01-01,2,6.41,4.57,1,0
E1048,Emp_048,Support,Agent,2024-01-01,11,7.27,3.2,0,0
E1049,Emp_049,HR,Recruiter,2024-01-01,3,8.72,3.71,0,0
E1050,Emp_050,Sales,AE,2024-01-01,5,7.95,2.66,1,0
E1051,Emp_051,Finance,Accountant,2024-01-01,10,7.85,3.82,0,0
E1052,Emp_052,HR,Recruiter,2024-01-01,5,7.95,4.03,1,0
E1053,Emp_053,Sales,Account Manager,2024-01-01,7,7.64,2.97,1,0
E1054,Emp_054,Sales,AE,2024-01-01,12,6.98,2.51,1,0
E1055,Emp_055,Engineering,Backend Dev,2024-01-01,8,8.8,3.3,1,0
E1056,Emp_056,Support,Agent,2024-01-01,11,8.18,2.84,0,0
E1057,Emp_057,HR,Recruiter,2024-01-01,3,8.1,2.62,1,0
E1058,Emp_058,Engineering,QA Eng,2024-01-01,9,4.91,5.0,0,0
E1059,Emp_059,HR,HRBP,2024-01-01,5,8.68,2.56,2,0
E1000,Emp_000,Marketing,SEO,2024-01-02,0,0.0,0.0,3,1
E1001,Emp_001,HR,HRBP,2024-01-02,4,6.77,3.29,0,0
E1002,Emp_002,Engineering,Data Eng,2024-01-02,8,4.82,3.76,1,0
E1003,Emp_003,Marketing,Content,2024-01-02,7,7.5,4.68,1,0
E1004,Emp_004,Engineering,QA Eng,2024-01-02,9,6.49,3.9,1,0
E1005,Emp_005,Engineering,Backend Dev,2024-01-02,7,9.03,4.31,1,0
E1006,Emp_006,Marketing,Content,2024-01-02,8,6.16,3.4,1,0
E1007,Emp_007,Marketing,Designer,2024-01-02,4,6.76,5.0,2,0
E1008,Emp_008,Support,Agent,2024-01-02,12,7.65,3.7,1,0
E1009,Emp_009,Finance,Analyst,2024-01-02,7,5.99,4.67,1,0
E1010,Emp_010,Sales,SDR,2024-01-02,8,7.0,3.65,1,0
E1011,Emp_011,Support,Agent,2024-01-02,11,6.24,3.66,1,0
E1012,Emp_012,Sales,Account Manager,2024-01-02,0,0.0,0.0,1,1
E1013,Emp_013,HR,Recruiter,2024-01-02,4,6.29,3.01,1,0
E1014,Emp_014,Finance,Accountant,2024-01-02,5,8.96,4.02,0,0
E1015,Emp_015,Sales,Account Manager,2024-01-02,9,5.18,3.89,0,0
E1016,Emp_016,Engineering,Backend Dev,2024-01-02,4,5.81,4.89,2,0
E1017,Emp_017,Sales,SDR,2024-01-02,8,8.1,3.21,1,0
E1018,Emp_018,Marketing,SEO,2024-01-02,5,5.32,2.68,3,0
E1019,Emp_019,Support,Team Lead,2024-01-02,8,7.27,4.07,1,0
E1020,Emp_020,Engineering,QA Eng,2024-01-02,10,6.62,4.85,2,0
E1021,Emp_021,Engineering,Backend Dev,2024-01-02,7,9.14,4.66,2,0
E1022,Emp_022,Marketing,SEO,2024-01-02,9,6.69,4.77,2,0
E1023,Emp_023,HR,HRBP,2024-01-02,4,7.01,4.12,1,0
E1024,Emp_024,Finance,Analyst,2024-01-02,5,9.16,3.96,0,0
E1025,Emp_025,HR,HRBP,2024-01-02,4,4.79,3.48,0,0
E1026,Emp_026,Sales,SDR,2024-01-02,8,8.36,3.42,0,0
E1027,Emp_027,Sales,Account Manager,2024-01-02,9,5.41,3.03,1,0
E1028,Emp_028,Engineering,Frontend Dev,2024-01-02,4,10.32,3.61,1,0
E1029,Emp_029,HR,HRBP,2024-01-02,10,7.43,4.22,1,0
E1030,Emp_030,Marketing,Content,2024-01-02,7,9.71,3.27,1,0
E1031,Emp_031,HR,HRBP,2024-01-02,1,7.28,3.91,1,0
E1032,Emp_032,HR,Recruiter,2024-01-02,3,7.96,4.21,0,0
E1033,Emp_033,Finance,Accountant,2024-01-02,4,7.8,4.01,1,0
E1034,Emp_034,Finance,Analyst,2024-01-02,9,8.14,4.07,1,0
E1035,Emp_035,Finance,Accountant,2024-01-02,7,8.02,3.56,0,0
E1036,Emp_036,Engineering,Backend Dev,2024-01-02,4,8.5,3.79,2,0
E1037,Emp_037,Finance,Accountant,2024-01-02,6,7.71,3.66,1,0
E1038,Emp_038,Marketing,SEO,2024-01-02,7,8.32,4.35,1,0
E1039,Emp_039,Sales,AE,2024-01-02,11,6.62,3.16,1,0
